id,objectid,shape,cod_pais,pais,cod_depto,departamento,departamen_1,municipio,municipi_1,codigo,orig_fid,point_x,point_y
28,28,Point,GT,Guatemala,GT14,Quiché,Quiche,Chiché,Chiche,1402,28,-91.04489,15.011277
29,29,Point,GT,Guatemala,GT14,Quiché,Quiche,Chichicastenango,Chichicastenango,1406,29,-91.092096,14.897134
30,30,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Chimaltenango,Chimaltenango,401,30,-90.840952,14.677595
31,31,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Chinautla,Chinautla,106,31,-90.497619,14.727333
32,32,Point,GT,Guatemala,GT14,Quiché,Quiche,Chinique,Chinique,1403,32,-91.022072,15.072704
33,33,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Chiquimula,Chiquimula,2001,33,-89.579073,14.802997
34,34,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Chiquimulilla,Chiquimulilla,608,34,-90.33485,13.972986
35,35,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Chisec,Chisec,1613,35,-90.36783,15.913765
36,36,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Chuarrancho,Chuarrancho,112,36,-90.472455,14.853176
37,37,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Ciudad Vieja,Ciudad Vieja,312,37,-90.77352,14.506387
38,38,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Coatepeque,Coatepeque,920,38,-91.979168,14.641367
39,39,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Cobán,Coban,1601,39,-90.540278,15.710788
40,40,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Colomba,Colomba,917,40,-91.754244,14.707709
41,41,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Colotenango,Colotenango,1319,41,-91.711276,15.445163
42,42,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Comalapa,Comalapa,404,42,-90.89867,14.749103
43,43,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Comapa,Comapa,2211,43,-89.91152,14.115557
44,44,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Comitancillo,Comitancillo,1204,44,-91.746439,15.111052
45,45,Point,GT,Guatemala,GT07,Sololá,Solola,Concepción,Concepcion,708,45,-91.135129,14.782281
46,46,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Concepción Chiquirichapa,Concepcion Chiquirichapa,911,46,-91.619664,14.844849
47,47,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Concepción Huista,Concepcion Huista,1322,47,-91.640552,15.66515
48,48,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Concepción Las Minas,Concepcion Las Minas,2008,48,-89.44926,14.487688
49,49,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Concepción Tutuapa,Concepcion Tutuapa,1206,49,-91.869047,15.290435
50,50,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Conguaco,Conguaco,2213,50,-90.016291,14.009939
51,51,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,Cubulco,Cubulco,1504,51,-90.671283,15.155377
52,52,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Cuilapa,Cuilapa,601,52,-90.298894,14.263306
53,53,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Cuilco,Cuilco,1304,53,-91.962378,15.465105
54,54,Point,GT,Guatemala,GT14,Quiché,Quiche,Cunén,Cunen,1410,54,-91.0182,15.366076
55,55,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Cuyotenango,Cuyotenango,1002,55,-91.564101,14.488291
56,56,Point,GT,Guatemala,GT17,Petén,Peten,Dolores,Dolores,1708,56,-89.359894,16.579843
57,57,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,El Adelanto,El Adelanto,2209,57,-89.853068,14.175033
58,58,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,El Asintal,El Asintal,1109,58,-91.756624,14.549615
59,59,Point,GT,Guatemala,GT17,Petén,Peten,El Chal,El Chal,1714,59,-89.733793,16.525741
60,60,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,El Chol,El Chol,1506,60,-90.487302,14.953573
61,61,Point,GT,Guatemala,GT18,Izabal,Izabal,El Estor,El Estor,1803,61,-89.363085,15.363584
62,62,Point,GT,Guatemala,GT02,El Progreso,El Progreso,El Jícaro,El Jicaro,205,62,-89.916008,14.88843
63,63,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,El Palmar,El Palmar,919,63,-91.608161,14.69868
64,64,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,El Progreso,El Progreso,2202,64,-89.850194,14.378814
65,65,Point,GT,Guatemala,GT12,San Marcos,San Marcos,El Quetzal,El Quetzal,1220,65,-91.805347,14.774578
66,66,Point,GT,Guatemala,GT12,San Marcos,San Marcos,El Rodeo,El Rodeo,1214,66,-91.998493,14.887963
67,67,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,El Tejar,El Tejar,416,67,-90.788764,14.67566
68,68,Point,GT,Guatemala,GT12,San Marcos,San Marcos,El Tumbador,El Tumbador,1213,68,-91.94727,14.847663
69,69,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Escuintla,Escuintla,501,69,-90.79321,14.299788
70,70,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Esquipulas,Esquipulas,2007,70,-89.267078,14.62059
71,71,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Esquipulas Palo Gordo,Esquipulas Palo Gordo,1227,71,-91.845878,14.925888
72,72,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Estanzuela,Estanzuela,1902,72,-89.612764,14.979249
73,73,Point,GT,Guatemala,GT17,Petén,Peten,Flores,Flores,1701,73,-89.534617,17.370037
74,74,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Flores Costa Cuca,Flores Costa Cuca,922,74,-91.863421,14.633276
75,75,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Fraijanes,Fraijanes,113,75,-90.441792,14.469343
76,76,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Fray Bartolomé de Las Casas,Fray Bartolome de Las Casas,1615,76,-89.760948,15.822901
77,77,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Génova,Genova,921,77,-91.845208,14.566477
78,78,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,Granados,Granados,1505,78,-90.57543,14.936253
79,79,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Gualán,Gualan,1904,79,-89.30243,15.146822
80,80,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Guanagazapa,Guanagazapa,508,80,-90.671756,14.091562
81,81,Point,GT,Guatemala,GT02,El Progreso,El Progreso,Guastatoya,Guastatoya,201,81,-90.063618,14.85134
82,82,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Guatemala,Guatemala,101,82,-90.479418,14.635431
83,83,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Guazacapán,Guazacapan,611,83,-90.430048,14.023993
84,84,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Huehuetenango,Huehuetenango,1301,84,-91.346808,15.291573
85,85,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Huitán,Huitan,915,85,-91.627664,15.046154
86,86,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Huité,Huite,1910,86,-89.697663,14.918179
87,87,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Ipala,Ipala,2011,87,-89.608276,14.587532
88,88,Point,GT,Guatemala,GT14,Quiché,Quiche,Ixcán,Ixcan,1420,88,-90.867343,15.927869
89,89,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Ixchiguán,Ixchiguan,1223,89,-91.922454,15.151675
90,90,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Ixtahuacán,Ixtahuacan,1309,90,-91.804915,15.414954
91,91,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Iztapa,Iztapa,510,91,-90.698958,13.96278
92,92,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Jacaltenango,Jacaltenango,1307,92,-91.733243,15.753127
93,93,Point,GT,Guatemala,GT21,Jalapa,Jalapa,Jalapa,Jalapa,2101,93,-90.031232,14.630332
94,94,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Jalpatagua,Jalpatagua,2212,94,-90.009794,14.11429
95,95,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Jerez,Jerez,2208,95,-89.761903,14.07669
96,96,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Jocotán,Jocotan,2004,96,-89.357775,14.765763
97,97,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Jocotenango,Jocotenango,302,97,-90.733903,14.588652
98,98,Point,GT,Guatemala,GT14,Quiché,Quiche,Joyabaj,Joyabaj,1412,98,-90.821093,14.986361
99,99,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Jutiapa,Jutiapa,2201,99,-89.931039,14.311625
100,100,Point,GT,Guatemala,GT12,San Marcos,San Marcos,La Blanca,La Blanca,1230,100,-92.119786,14.553556
